name,stat_area,Season,Sex,breakpoint1,breakpoint2,breakpoint3
nefsc_biomass,511-513,all,M+F,2008.674946939262,2015.0000376692096,NA
nefsc_abundance,511-513,all,M+F,1990.0916505750533,2006.2563069988942,NA
NEFSCindex,511-513,all,M+F,2009.245775977957,2015.5661082791398,NA
MEindex,511-513,all,M+F,2013.2381427110079,2015.336406452667,NA
ME_landings,511-513,all,M+F,1987.5796330533012,2008.7179383511548,2012.6457582061057
menh_abundance,511-513,all,M+F,2006.6303519329551,2015.896107960455,NA
menh_biomass,511-513,all,M+F,2006.595366594409,2015.7762791789798,NA
sublegal_cpue,511-513,all,M+F,NA,NA,NA
ALSI,511-513,all,M+F,2005.0000041575456,NA,NA
