Year,stat_area,Season,Value,Indicator
2000,511-513,fall,-1.8503310066442868,menh_size_spectra_slope
2001,511-513,fall,-1.7705928754081854,menh_size_spectra_slope
2002,511-513,fall,-0.9567850422056684,menh_size_spectra_slope
2003,511-513,fall,-1.7134297481956966,menh_size_spectra_slope
2004,511-513,fall,-1.3991697652418547,menh_size_spectra_slope
2005,511-513,fall,-1.3337704380294813,menh_size_spectra_slope
2006,511-513,fall,-1.6904066075031967,menh_size_spectra_slope
2007,511-513,fall,-1.6466242648109894,menh_size_spectra_slope
2008,511-513,fall,-1.519432299443063,menh_size_spectra_slope
2009,511-513,fall,-1.949147807369444,menh_size_spectra_slope
2010,511-513,fall,-1.7190572443277825,menh_size_spectra_slope
2011,511-513,fall,-2.0551448150796268,menh_size_spectra_slope
2012,511-513,fall,-2.2212748576498416,menh_size_spectra_slope
2013,511-513,fall,-2.1766562747828746,menh_size_spectra_slope
2014,511-513,fall,-2.721874230303237,menh_size_spectra_slope
2015,511-513,fall,-3.1869497133156726,menh_size_spectra_slope
2016,511-513,fall,-2.282398840737111,menh_size_spectra_slope
2017,511-513,fall,-2.4235270215432396,menh_size_spectra_slope
2018,511-513,fall,-2.129750702850317,menh_size_spectra_slope
2019,511-513,fall,-2.0339233887401997,menh_size_spectra_slope
2001,511-513,spring,-2.5887102676392475,menh_size_spectra_slope
2002,511-513,spring,-1.8874202992573863,menh_size_spectra_slope
2003,511-513,spring,-2.141929385085561,menh_size_spectra_slope
2004,511-513,spring,-2.0934310534693905,menh_size_spectra_slope
2005,511-513,spring,-1.9358639088079095,menh_size_spectra_slope
2006,511-513,spring,-1.9036972208539145,menh_size_spectra_slope
2007,511-513,spring,-2.0001548050661206,menh_size_spectra_slope
2008,511-513,spring,-1.792100968163276,menh_size_spectra_slope
2009,511-513,spring,-1.9446392625101458,menh_size_spectra_slope
2010,511-513,spring,-1.7679712378556505,menh_size_spectra_slope
2011,511-513,spring,-2.0190313889993274,menh_size_spectra_slope
2012,511-513,spring,-2.560843241278526,menh_size_spectra_slope
2013,511-513,spring,-2.19996734255029,menh_size_spectra_slope
2014,511-513,spring,-2.19486251711281,menh_size_spectra_slope
2015,511-513,spring,-2.2968819506134115,menh_size_spectra_slope
2016,511-513,spring,-2.600271334711118,menh_size_spectra_slope
2017,511-513,spring,-2.28295484943093,menh_size_spectra_slope
2018,511-513,spring,-2.377635610076117,menh_size_spectra_slope
2019,511-513,spring,-2.3699745688380576,menh_size_spectra_slope
2000,511-513,all,-1.8503310066442868,menh_size_spectra_slope
2001,511-513,all,-2.0798741539482895,menh_size_spectra_slope
2002,511-513,all,-1.5282843337210672,menh_size_spectra_slope
2003,511-513,all,-1.7952899401920377,menh_size_spectra_slope
2004,511-513,all,-1.488911788451169,menh_size_spectra_slope
2005,511-513,all,-1.6789705355666495,menh_size_spectra_slope
2006,511-513,all,-1.8595435081048828,menh_size_spectra_slope
2007,511-513,all,-1.6825937934635766,menh_size_spectra_slope
2008,511-513,all,-1.6700538765965656,menh_size_spectra_slope
2009,511-513,all,-1.9146231560281393,menh_size_spectra_slope
2010,511-513,all,-1.7895772630527242,menh_size_spectra_slope
2011,511-513,all,-2.0395285855867895,menh_size_spectra_slope
2012,511-513,all,-2.40055834221313,menh_size_spectra_slope
2013,511-513,all,-2.0728868803238054,menh_size_spectra_slope
2014,511-513,all,-2.421190494346591,menh_size_spectra_slope
2015,511-513,all,-2.7385636595702363,menh_size_spectra_slope
2016,511-513,all,-2.3049067379856005,menh_size_spectra_slope
2017,511-513,all,-2.3997572638139877,menh_size_spectra_slope
2018,511-513,all,-2.146006883755794,menh_size_spectra_slope
2019,511-513,all,-2.0391909214611337,menh_size_spectra_slope
