Year,Value,Value_var,Season,stat_area,Indicator
2001,-0.10783139268727106,0.6538844626972933,all,511-513,stratification
2002,-0.35551387570349147,0.6828097371375376,all,511-513,stratification
2003,-0.14085259604403752,0.6970089944964633,all,511-513,stratification
2004,-0.22981452433515656,0.6377831715817166,all,511-513,stratification
2005,0.1440803103950506,0.850850990004251,all,511-513,stratification
2006,0.08989717894547507,0.8279796767779725,all,511-513,stratification
2007,-0.15900134026425533,0.8293142604916708,all,511-513,stratification
2008,0.1640633603308942,0.6272053869464287,all,511-513,stratification
2009,0.03194537178651518,0.7984262378807295,all,511-513,stratification
2010,0.02333797734054759,0.579429130510764,all,511-513,stratification
2011,0.09328033606927431,0.6765950139594142,all,511-513,stratification
2012,0.003639789470956683,0.9231108071974526,all,511-513,stratification
2013,-0.05653829258597945,0.9138456973753515,all,511-513,stratification
2014,0.16589822074673496,0.8196601300754323,all,511-513,stratification
2015,-0.041421990738112445,0.5319977635905833,all,511-513,stratification
2016,-0.041807768774029405,0.4678672041847544,all,511-513,stratification
2017,-0.0681804821819113,0.6388001230483542,all,511-513,stratification
2018,-0.2306756766219743,0.7819452768926424,all,511-513,stratification
2019,-0.05605636934924743,0.7982226833358911,all,511-513,stratification
2020,-0.08781989914057532,0.22479057473053363,all,511-513,stratification
2001,-0.31352603604295576,0.3380659680062762,fall,511-513,stratification
2002,-0.4807495028312157,0.5219908212089185,fall,511-513,stratification
2003,0.10583071948557968,0.13492289257809645,fall,511-513,stratification
2004,-0.21881384875443216,0.8158506521284117,fall,511-513,stratification
2005,0.4552016694562211,0.4102145859193578,fall,511-513,stratification
2006,0.17063788477011588,0.1784292730023731,fall,511-513,stratification
2007,-0.12741044925668335,0.413932316999325,fall,511-513,stratification
2008,0.11506874648550287,0.2959041966668085,fall,511-513,stratification
2009,-0.10533607349902163,0.27639974239085846,fall,511-513,stratification
2010,-0.07862902253604966,0.1960751557751591,fall,511-513,stratification
2011,0.27237455596761373,0.7361957485724159,fall,511-513,stratification
2012,0.1791779386207735,0.49090699556086237,fall,511-513,stratification
2013,-0.08643309107281807,0.6952889630886405,fall,511-513,stratification
2014,0.10958190519676296,0.3991011315782834,fall,511-513,stratification
2015,0.04014463821838116,0.38620995941727326,fall,511-513,stratification
2016,-0.2710755011143101,0.5155348287040389,fall,511-513,stratification
2017,-0.10554197077040224,0.259228998700721,fall,511-513,stratification
2018,-0.4091134533993343,0.576785861253896,fall,511-513,stratification
2019,-0.15601183269063043,0.3431289144632361,fall,511-513,stratification
2020,0.45964769352999646,NA,fall,511-513,stratification
2002,-0.29125266385850124,0.3385989246371429,spring,511-513,stratification
2003,-0.36047390451490463,0.6141556775674175,spring,511-513,stratification
2004,-0.30744037788705275,0.2809106688400966,spring,511-513,stratification
2005,-0.007070629928971117,0.7175473503763737,spring,511-513,stratification
2006,-0.41905502949231427,0.32550402073176044,spring,511-513,stratification
2007,-0.11892274462635063,1.0640167112397387,spring,511-513,stratification
2008,0.27783380536753477,0.548108915128643,spring,511-513,stratification
2009,0.03853325383150058,0.47749251431376644,spring,511-513,stratification
2010,0.15536698359520268,0.4493175908656156,spring,511-513,stratification
2011,0.29369117257442917,0.3741626853292093,spring,511-513,stratification
2012,-0.13750850531107214,0.4960515847292643,spring,511-513,stratification
2013,-0.2581289987242765,0.3063184427894513,spring,511-513,stratification
2014,0.023363706121579092,0.9156689170481076,spring,511-513,stratification
2015,-0.2938288525803553,0.45835823655482827,spring,511-513,stratification
2016,0.05573772063525985,0.07179332434907824,spring,511-513,stratification
2017,-0.029636112880790346,0.6420669862170808,spring,511-513,stratification
2018,-0.16178931630701385,0.8378770023938907,spring,511-513,stratification
2019,-0.15423676908585202,0.7682851907343142,spring,511-513,stratification
2020,NaN,NA,spring,511-513,stratification
2001,0.7219251817937462,0.0027088963633040276,summer,511-513,stratification
2002,0.6405091744543574,0.06362699043223485,summer,511-513,stratification
2003,0.8133439624555809,0.01904796078933512,summer,511-513,stratification
2004,0.6812493882162576,0.07510847450915645,summer,511-513,stratification
2005,1.1108508877506975,0.0016558025769084818,summer,511-513,stratification
2006,1.3798821089879958,0.024424669205059306,summer,511-513,stratification
2007,0.8136325451997491,0.008998018360004061,summer,511-513,stratification
2008,1.0425096440907917,0.08096423825250786,summer,511-513,stratification
2009,1.1581975473430957,0.21547369765562016,summer,511-513,stratification
2010,0.8787909269868781,0.0537908639193692,summer,511-513,stratification
2011,0.7925261562640001,0.010245125532829528,summer,511-513,stratification
2012,1.1305900017382986,0.07711200010313764,summer,511-513,stratification
2013,1.195008205363404,0.011525383351855059,summer,511-513,stratification
2014,1.2517136686880792,0.04207983492329125,summer,511-513,stratification
2015,0.8191186517406004,0.05693232255164762,summer,511-513,stratification
2016,0.8013627876920463,0.012376448738214377,summer,511-513,stratification
2017,0.8594579456205578,0.008183352972552098,summer,511-513,stratification
2018,0.7692104378638185,0.10209968090566705,summer,511-513,stratification
2019,1.0446101298448,0.06233463372490514,summer,511-513,stratification
2020,NaN,NA,summer,511-513,stratification
2002,-1.2376013431956272,0.007412166029307784,winter,511-513,stratification
2003,-1.3000058016370717,0.0016919671140457223,winter,511-513,stratification
2004,-0.9863149767328953,0.04447332022719056,winter,511-513,stratification
2005,-1.090817103425617,0.012694866780503364,winter,511-513,stratification
2006,-0.7410362369325487,0.0167048245233603,winter,511-513,stratification
2007,-1.0864217768245101,0.07237545829865272,winter,511-513,stratification
2008,-0.9430796643756569,0.03469939125247009,winter,511-513,stratification
2009,-0.839321830789951,0.022475759386874412,winter,511-513,stratification
2010,-1.0778339142543982,0.007436058360539943,winter,511-513,stratification
2011,-0.8291172252239191,0.14497890831509494,winter,511-513,stratification
2012,-1.0941346671916925,0.04114569656719592,winter,511-513,stratification
2013,-1.1342491083642459,0.016162612459161337,winter,511-513,stratification
2014,-0.9308928274029482,0.0027017230625276554,winter,511-513,stratification
2015,-0.6697133477037117,0.16073032844208116,winter,511-513,stratification
2016,-0.5570652145777488,0.01195804320224282,winter,511-513,stratification
2017,-0.9587533128581172,0.0030918998803274203,winter,511-513,stratification
2018,-1.1180581931386935,0.040162443930530034,winter,511-513,stratification
2019,-1.1690620140821535,4.2891150065387966e-4,winter,511-513,stratification
2020,-0.4125091476892514,0.007789375292963568,winter,511-513,stratification
